pid,label,submitter,submitter_pronoun,game,avatar_pronouns,why_this_game,avatar_relationship,object_type,thumbnail,fullwidth,manifest,order,layout,collection,full
168622805_june_avatar,June's Submission,June,He/They/Kit,Runescape: Dragonwilds. Jagex Ltd. 2025. Windows PC.,He/Him,It's a blast to play and my current obsession.,I use it as an outlet for the expression I don't have the funds for.,Screenshot,"/img/derivatives/iiif/images/168622805_june_avatar/full/250,/0/default.jpg",/img/derivatives/simple/168622805_june_avatar/fullwidth.jpg,/img/derivatives/iiif/168622805_june_avatar/manifest.json,1,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/168622805_june_avatar/full/1140,/0/default.jpg"
169875217_red_avatar,Red's Submission,Red,He/Him,Stardew Valley. Designed by Eric Barone. ConcernedApe. 2016. PlayStation 4.,He/Him,Stardew is really the only game I play consistently.,"I am a trans male (FTM) so when I create a character in a video game, I want them to represent how i see myself irl. I chose a male character and dressed him in a simple striped shirt and shorts, since this is something I would also wearl irl. I also decided to add items to my character that aren't realistic, such a duck beak and a party hat. Neither of these are things i have lol but I feel like it still speaks to my gender identity. The duck beak makes my character inhuman in a way, but this is also how I see myself due to gender and identity as an autistic person.",Screenshot,"/img/derivatives/iiif/images/169875217_red_avatar/full/250,/0/default.jpg",/img/derivatives/simple/169875217_red_avatar/fullwidth.jpg,/img/derivatives/iiif/169875217_red_avatar/manifest.json,10,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/169875217_red_avatar/full/1140,/0/default.jpg"
169902886_stokes_avatar,Stokes' Submission,Stokes,Any Pronouns,Sea of Thieves. Rare Studios. 2018. Microsoft Xbox One.,They/Them,Sea of Thieves is one of the only games I have where you can customize a character. Also i have 350 hours on the game.,"I always try to go for the most androgynous look i can, even if there are only female or male bases.",Screenshot,"/img/derivatives/iiif/images/169902886_stokes_avatar/full/250,/0/default.jpg",/img/derivatives/simple/169902886_stokes_avatar/fullwidth.jpg,/img/derivatives/iiif/169902886_stokes_avatar/manifest.json,11,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/169902886_stokes_avatar/full/1140,/0/default.jpg"
170014075_eillurdekarios_avatar,Eillur Dekarios' Submission,Eillur Dekarios,He/Him,Baldur's Gate III. Larian Studios. 2023. Windows PC.,He/Him,"I’m autistic, and have been playing DnD for 15 years and am really into BG3 (special interest), I also love how diverse and safe the character creation is!! You can pick genitals, pronouns, voices, and more! It’s super inclusive (compared to other stuff)!","Before I came out as a trans man, I always found myself wanting to play “the boy character”. When I first found games that I could create my own characters, I always created characters who just looked like a “boy version” of me at the time, and I’d feel very happy playing the games. As I’ve started transitioning, and still suffer from dysphoria (but more body dysmorphia now that I’ve gotten top surgery), I get to make characters that may not look like me, but are still men that I find cool, aesthetically appealing, or attractive. In BG3 you can also choose genitals like I said, and romance characters, and as a gay trans man, I enjoyed being able to play a male character with female genitalia and romance a cis man - it made me feel less uncomfortable about navigating the dating field and always feeling unseen. I love the BG3 character customization (I think it has some places it could improve - like adding plus-sized characters, etc), and it just makes me happy to know that I can play a cis man, trans man, cis woman, trans woman, or even a nonbinary character! Character creation allowed me to explore my gender before coming out, and now that I have it allows me to affirm that gender identity and (in Baldur’s Gate’s case) allows me to also affirm my sexuality!",Screenshot,"/img/derivatives/iiif/images/170014075_eillurdekarios_avatar/full/250,/0/default.jpg",/img/derivatives/simple/170014075_eillurdekarios_avatar/fullwidth.jpg,/img/derivatives/iiif/170014075_eillurdekarios_avatar/manifest.json,12,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/170014075_eillurdekarios_avatar/full/1140,/0/default.jpg"
196254184_byleth_avatar,Byleth's Submission,byleth,They/Them,Cyberpunk 2077. CD Projekt Red. 2022. Xbox Series X.,They/Them,Its my favorite game besides marvel rivals and I think Cyberpunk is a good example of a game that tried to make trans representation and failed spectacularly.,I try to make my characters similar to me in gender and sexuality (AFAB trans nonbinary and preference for fem and nonbinary partners). This character I had to make a female presentation and voice to get Judy (a lesbian NPC) as a love interest. If I had more autonomy with this or mods I would've made them more neutral. I gave them no visible genitals or nipples similar to my own transition goals but I would've preferred to not have a chest. I'm actually getting top surgery in real life next year. Also their hair is purple and in space buns which is my favorite color/style but I prefer my hair shorter and more androgynous in real life. It's kind of like playing as a more feminine version of myself that I would be more comfortable expressing if people didn't constantly misgender me in real life.,Screenshot,"/img/derivatives/iiif/images/196254184_byleth_avatar/full/250,/0/default.jpg",/img/derivatives/simple/196254184_byleth_avatar/fullwidth.jpg,/img/derivatives/iiif/196254184_byleth_avatar/manifest.json,13,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/196254184_byleth_avatar/full/1140,/0/default.jpg"
196354696_virtue_avatar,Virtue's Submission,Virtue,He/They,Splatoon 3. Nintendo. 2022. Nintendo Switch.,They/Them,Lots of self customization and fashion options :],Use it to explore and lean further into assets of my self-identity I would otherwise not be able to do in person.,Screenshot,"/img/derivatives/iiif/images/196354696_virtue_avatar/full/250,/0/default.jpg",/img/derivatives/simple/196354696_virtue_avatar/fullwidth.jpg,/img/derivatives/iiif/196354696_virtue_avatar/manifest.json,14,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/196354696_virtue_avatar/full/1140,/0/default.jpg"
197093068_Jerma1_avatar,Jerma1's Submission,Jerma1,She/Her,Team Fortress 2. Valve Corporation. 2007. Nintendo Switch.,They/Them,I picked that one of 9 characters I have cosmetics for because I think it best encapsulates the general theme of the cosmetic loadout I made which is wintry! Pyro has that cute little face mask + the sweater it all comes together nicely.,"I could imagine the subconscious visual choices and clothing items could reflect my own desires and wants for my appearance or outward identity, and sort in that way is both a goalline and a source of projection.",Screenshot,"/img/derivatives/iiif/images/197093068_Jerma1_avatar/full/250,/0/default.jpg",/img/derivatives/simple/197093068_Jerma1_avatar/fullwidth.jpg,/img/derivatives/iiif/197093068_Jerma1_avatar/manifest.json,15,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/197093068_Jerma1_avatar/full/1140,/0/default.jpg"
197095271_myra_avatar,Myra's Submission,Myra,They/Them,Baldur's Gate III. Larian Studios. 2023. Windows PC.,They/Them,"I really enjoy it, and I feel like my character fits me really well.",It allows me to explore how I would like to present myself in a world where people don't assume what I am.,Screenshot,"/img/derivatives/iiif/images/197095271_myra_avatar/full/250,/0/default.jpg",/img/derivatives/simple/197095271_myra_avatar/fullwidth.jpg,/img/derivatives/iiif/197095271_myra_avatar/manifest.json,16,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/197095271_myra_avatar/full/1140,/0/default.jpg"
197544277_quail_avatar,Quail's Submission,Quail,She/Her. They/Them. He/Him,Baldur's Gate III. Larian Studios. 2023. Windows PC.,He/Him,"There are admittedly not many games with diverse character creation available. My other choices were Cyberpunk 2077 (which doesn't have a nonbinary option and has streamlined romance options based on your combination of sex and gender) and Mass Effect (which forces you into a binary with less freedom with character design- which I don't blame considering how old it is). Baldur's Gate 3 made me feel able to make my character my own. I could give them any voice, body type, and genitals without feeling forced by the game to make certain choices, especially when it came to romance.","My gender identity is up in the air. Mostly, I feel Agender and don't necessarily care how I'm addressed. Sometimes I feel nonbinary and would prefer to be addressed as they/them. However, I don't feel comfortable expressing my preferred identity in real life, so just default to my birth sex since that's easier. In video games, however, I can become whoever I want. Since I prefer single player games, I especially feel able to be myself without judgement. The characters I make tend to have a mixture of feminine and masculine traits, which is usually only possible with diverse character creators. The character I submitted is male with a masculine voice, but has a more feminine body. It's similar to how I myself am female in body, but don't particularly mentally connect with being a woman. Character creators have allowed me to explore how I see myself and how I want to be seen by others. Some of the first character creators I encountered were in text-based interactive fiction games (e.g. Choice of Games LLC) where there are no visuals, you just state your gender and appearance. Going from that form of mentally envisioning my character to games like Baldur's Gate 3 that let me physically see them has helped me feel more comfortable with myself. Even if the world would find me strange, I have a sense of internal acceptance where I know it's okay to not fit into what someone expects of me.",Screenshot,"/img/derivatives/iiif/images/197544277_quail_avatar/full/250,/0/default.jpg",/img/derivatives/simple/197544277_quail_avatar/fullwidth.jpg,/img/derivatives/iiif/197544277_quail_avatar/manifest.json,17,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/197544277_quail_avatar/full/1140,/0/default.jpg"
198417095_Crash_avatar,Crash's Submission,Crash,Any Pronouns,Stardew Valley. Designed by Eric Barone. ConcernedApe. 2016. PlayStation 4.,She/Her,Stardew Valley is the video game I've played the most (that also has a character customizer). I've been playing it on and off since the pandemic and it's provided me a lot of comfort.,"The nice thing about single-player games is that you can literally make your character look however, and everyone in the game still treats you the same. This allows room for exploration -- my first two SV characters were versions of myself, but in this third world I'm a woman farmer who also happens to have a beard. (Her name is Griselda.) Stardew Valley is also one of those games where the movement of just a few pixels can entirely change how your character looks, and it's not as if the base characters are highly gendered anyway. (You do pick male/female in the character creation screen, but that only affects the pronouns NPCs call you.)",Screenshot,"/img/derivatives/iiif/images/198417095_Crash_avatar/full/250,/0/default.jpg",/img/derivatives/simple/198417095_Crash_avatar/fullwidth.jpg,/img/derivatives/iiif/198417095_Crash_avatar/manifest.json,18,submissionimg_item,submissionimg,"/img/derivatives/iiif/images/198417095_Crash_avatar/full/1140,/0/default.jpg"
